AirSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"BaseAirSys3","SZAC",1042.8,951.7,0.0,0.0,0.467,0.419,0.000,0.000,0.890,0.527,0.473,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-2","SZAC",365.7,329.2,0.0,0.0,0.181,0.130,0.000,0.000,0.274,0.581,0.419,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-3","SZAC",314.4,282.9,0.0,0.0,0.158,0.109,0.000,0.000,0.244,0.591,0.409,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-4","SZAC",557.5,0.0,0.0,0.0,0.474,0.000,0.000,0.000,0.055,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-5","SZAC",727.2,708.8,0.0,0.0,0.315,0.303,0.000,0.000,0.480,0.510,0.490,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-6","SZAC",1916.4,1849.9,0.0,0.0,0.834,0.794,0.000,0.000,1.405,0.512,0.488,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-7","SZAC",51.5,0.0,0.0,0.0,0.054,0.000,0.000,0.000,0.026,1.000,0.000,0.000,0.000,0.000,0.011,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-8","SZAC",254.2,228.8,0.0,0.0,0.115,0.101,0.000,0.000,0.211,0.532,0.468,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-9","SZAC",313.4,282.1,0.0,0.0,0.144,0.122,0.000,0.000,0.295,0.543,0.457,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"BaseAirSys3-10","SZAC",973.6,0.0,0.0,0.0,0.827,0.000,0.000,0.000,0.394,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

Thermal Zone
,,,,,,Fan Capacity,,,Fan Flow Ratio,,,Fan Pwr,,,,,Fan Pwr Adj
Name,Pri HVAC Sys,Vent Sys,Exhaust Sys,Floor Area,Multiplier,Pri. System Flow,Ventilation System Flow,Exhaust Flow,Zone Pri-Air-Flow-to-Sys Flow Ratio,Zone Vent-to-Sys-Air Flow Ratio,Zone Exh-to-Sys Flow Ratio,Prop Supply Fan Pwr,Prop Return Fan Pwr,Prop Relief Fan Pwr,Prop Exhaust Fan Pwr,Total Prop Fan Pwr,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total Fan Pwr Adj,Fully Ducted Exhaust Pwr Adj,Exhaust Filter Fan Pwr Adj,Biosafety Cabinet Fan Pwr Adj,Fully Ducted Return Fan Pwr Adj,MERV16 Fan Pwr Adj,Air Cleaner Fan Pwr Adj,Exhaust Fan Motor BHP
,,,,(ft2),,(cfm),(cfm),(cfm),(frac),(frac),(frac),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW)
"Thermal Zone: L01-105_IstoComlUncd","NONE","NONE","NONE",4753.0,1,0.0,0.0,0.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L01-102_OfceComlPthp","BaseAirSys3","BaseAirSys3","NONE",939.6,1,1042.8,1042.8,0.0,1.000,0.081,0.000,0.469,0.421,0.000,0.000,0.890,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-214_AstoComlPthp","BaseAirSys3-2","BaseAirSys3-2","NONE",343.3,1,365.7,365.7,0.0,1.000,0.075,0.000,0.159,0.115,0.000,0.000,0.274,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-209_AstoComlPthp","BaseAirSys3-3","BaseAirSys3-3","NONE",346.7,1,314.4,314.4,0.0,1.000,0.075,0.000,0.144,0.100,0.000,0.000,0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-216_MprpComlPthp","BaseAirSys3-4","BaseAirSys3-4","NONE",300.4,1,557.5,557.5,0.0,1.000,0.052,0.000,0.055,0.000,0.000,0.000,0.055,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-206_MprpComlPthp","BaseAirSys3-5","BaseAirSys3-5","NONE",597.3,1,727.2,727.2,0.0,1.000,0.016,0.000,0.245,0.235,0.000,0.000,0.480,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-201_CorrComlPthp","BaseAirSys3-6","BaseAirSys3-6","NONE",2052.7,1,1916.4,1916.4,0.0,1.000,0.058,0.000,0.720,0.685,0.000,0.000,1.405,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-218_MechComlPthp","BaseAirSys3-7","NONE","NONE",45.9,1,51.5,0.0,0.0,1.000,0.000,0.000,0.026,0.000,0.000,0.000,0.026,0.000,0.011,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-202_OfceComlPthp","BaseAirSys3-8","BaseAirSys3-8","NONE",187.6,1,254.2,254.2,0.0,1.000,0.023,0.000,0.112,0.099,0.000,0.000,0.211,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-203_BrkrComlPthp","BaseAirSys3-9","BaseAirSys3-9","NONE",223.3,1,313.4,313.4,0.0,1.000,0.042,0.000,0.160,0.135,0.000,0.000,0.295,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-204_FitnComlPthp","BaseAirSys3-10","BaseAirSys3-10","NONE",1595.4,1,973.6,1947.2,0.0,1.000,0.578,0.000,0.394,0.000,0.000,0.000,0.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
