BuildingStory
,,Floor Area (including multipliers),,,,,Ventilation (Design),,,Ventilation (For Balance),,,,,,General,,Comm. Kitchen,,Parking Garage,,Laboratory
Name,Multiplier,Total,Cond. NRes,Cond. Res,Total Cond.,Number,Total,Code Min.,Exhaust,Total,Code Min.,Tot:Min Ratio,Exhaust,Vent:Exh Ratio,Vent Mult.,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust,Vent,Exhaust
,,(ft2),(ft2),(ft2),(ft2),(people),(cfm),(cfm),(cfm),(cfm),(cfm),,(cfm),,,(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"L1",1,5692.6,939.6,0.0,939.6,11.1,125,338,0,0,0,0,1.000,1.000,1.000,125,0,0,0,0,0,0,0
"L2",1,5692.6,5692.6,0.0,5692.6,72.8,1415,895,0,0,0,0,1.000,1.000,1.000,1415,0,0,0,0,0,0,0

Space
,,,,,,,,Occupancy,,,Ventilation,,,,Design Inputs,,,,,Minimum Req.,,,,,Adjustments,,Simulated,,Exhaust,,,ForBalance
Name,Story Name,Condg Type,Space Function,Thermal Zone,VentSys,Floor Area,Multiplier,Dsgn,Min,Number,Spec. Method,Control,Zone Eff (Ez),SysEff (Ev),Per Area,Per Occupant,Per Volume,Per Space,Calculated Flow (incl Mult and Ez),Per Area,Per Occupant,Per Volume,Calculated Flow (incl Mult and Ez),TARGET Flow (incl Mult and Ez),CodeVent Mult,ExhVent Mult,,,Calculated Flow,Lab Exh Type,Max Kitchen,Ventilation,Exhaust
,,,,,,(ft2),,(ppl/1000ft2),(ppl/1000ft2),(people),,,,,(cfm/ft2),(cfm/person),(ACH),(cfm/person),(cfm),(cfm/ft2),(cfm/person),(ACH),(cfm),(cfm),,,(cfm/ft2),(cfm/person),(cfm),,(cfm),(cfm),(cfm)
"L01-105_IstoComlUncd","L1","Unconditioned","Storage Room - <50 ft2","Thermal Zone: L01-105_IstoComlUncd","None",4753.0,1,3.0,0.0,7.1,"NoVentilation","UNDEFINED",1.000,1.000,0.000,0.00,0.000,0,0,0.060,5.00,0.000,0,0,1.000,1.000,0.000,0.00,0,"UNDEFINED",0,0,0
"L01-102_OfceComlPthp","L1","DirectlyConditioned","Office - Enclosed","Thermal Zone: L01-102_OfceComlPthp","ERV1",237.0,1,10.0,10.0,1.2,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,125,0.060,5.00,0.000,91,91,0.729,1.000,0.133,0.00,0,"UNDEFINED",0,0,0
"L01-103_AstoComlIncd","L1","IndirectlyConditioned","Storage Room - <50 ft2","Thermal Zone: L01-102_OfceComlPthp","ERV1",109.3,1,3.0,0.0,0.2,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,0,0.060,5.00,0.000,0,0,0.729,1.000,0.133,0.00,0,"UNDEFINED",0,0,0
"L01-001_ElevComlIncd","L1","IndirectlyConditioned","Unoccupied-Include in Gross Floor Area","Thermal Zone: L01-102_OfceComlPthp","ERV1",60.5,1,0.0,0.0,0.0,"Sum","Fixed",1.000,1.000,0.000,0.00,0.000,0,0,0.000,0.00,0.000,0,0,1.000,1.000,0.133,0.00,0,"UNDEFINED",0,0,0
"L01-101_LbbyComlPthp","L1","DirectlyConditioned","Lobby - All other","Thermal Zone: L01-102_OfceComlPthp","ERV1",250.4,1,10.0,66.7,1.3,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,0,0.060,5.00,0.000,0,0,0.729,1.000,0.133,0.00,0,"UNDEFINED",0,0,0
"L01-101A_StrsComlIncd","L1","IndirectlyConditioned","Stairwell","Thermal Zone: L01-102_OfceComlPthp","ERV1",177.9,1,10.0,10.0,0.9,"Sum","Fixed",1.000,1.000,0.060,0.00,0.000,0,0,0.060,0.00,0.000,0,0,0.729,1.000,0.133,0.00,0,"UNDEFINED",0,0,0
"L01-100_VestComlIncd","L1","IndirectlyConditioned","Corridor - All other","Thermal Zone: L01-102_OfceComlPthp","ERV1",104.6,1,10.0,10.0,0.5,"Sum","Fixed",1.000,1.000,0.060,0.00,0.000,0,0,0.060,0.00,0.000,0,0,0.729,1.000,0.133,0.00,0,"UNDEFINED",0,0,0
"L02-214_AstoComlPthp","L2","DirectlyConditioned","Storage Room - <50 ft2","Thermal Zone: L02-214_AstoComlPthp","ERV1",343.3,1,3.0,0.0,0.5,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,115,0.060,5.00,0.000,76,85,0.739,1.000,0.335,0.00,0,"UNDEFINED",0,0,0
"L02-211_RestComlIncd","L2","IndirectlyConditioned","Restroom - All other","Thermal Zone: L02-201_CorrComlPthp","ERV1",740.0,1,10.0,10.0,7.4,"Sum","Fixed",1.000,1.000,0.000,0.00,0.000,0,0,0.000,0.00,0.000,0,0,0.739,1.000,0.044,0.00,0,"UNDEFINED",0,0,0
"L02-209_AstoComlPthp","L2","DirectlyConditioned","Storage Room - <50 ft2","Thermal Zone: L02-209_AstoComlPthp","ERV1",346.7,1,3.0,0.0,0.5,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,115,0.060,5.00,0.000,76,85,0.739,1.000,0.332,0.00,0,"UNDEFINED",0,0,0
"L02-207_UtilComlIncd","L2","IndirectlyConditioned","Warehouse - Storage Area - Medium to bulky, palletized items","Thermal Zone: L02-206_MprpComlPthp","ERV1",98.7,1,3.0,2.0,0.1,"Sum","Fixed",1.000,1.000,0.060,5.00,0.000,0,0,0.060,5.00,0.000,0,0,0.739,1.000,0.042,0.00,0,"UNDEFINED",0,0,0
"L02-207C_MechComlIncd","L2","IndirectlyConditioned","Electrical/MechanicaI Room","Thermal Zone: L02-206_MprpComlPthp","ERV1",54.5,1,3.0,3.0,0.1,"Sum","Fixed",1.000,1.000,0.000,0.00,0.000,0,0,0.000,0.00,0.000,0,0,0.739,1.000,0.042,0.00,0,"UNDEFINED",0,0,0
"L02-207B_MechComlIncd","L2","IndirectlyConditioned","Electrical/MechanicaI Room","Thermal Zone: L02-206_MprpComlPthp","ERV1",53.0,1,3.0,3.0,0.1,"Sum","Fixed",1.000,1.000,0.000,0.00,0.000,0,0,0.000,0.00,0.000,0,0,0.739,1.000,0.042,0.00,0,"UNDEFINED",0,0,0
