PV Array & Battery Report
,"UNDEFINED"
,"UNDEFINED"
,"There is no PV or Battery equipment defined in this (proposed) model"

Prescriptive PV/Battery Requirements:
Space/ResOtherZn/ResZn,,,,,,NonRes & HiRiseRes Multiplied Areas by PVBattery Bldg Type,,,,,,,,,,,,,LowRiseRes,,Prescriptive Capacities:
Name,Conditioning Type,Space Function,PV/Batt Bldg Type,Floor Area,Multiplier,"Events, Exhibits",Library,Hotel/Motel,"Office, Financial, Unleased, Med Office/Clinic",Restaurants,"Retail, Grocery",School,Warehouse,Religious Worship,"Sports, Recreation",Highrise Multifamily,none,# Res Dwellings,MultArea,,PV,Batt Energy,Batt Power
,,,,(ft2),,(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),,(ft2),,(kWdc),(kWh),(kW)
"L01-105_IstoComlUncd","Unconditioned","Storage Room - <50 ft2","Retail",4752.97,1,,,,,,,,,,,,0,,,,-99996,-99996,-99996,
"L01-102_OfceComlPthp","DirectlyConditioned","Office - Enclosed","Office, Financial, Unleased Tenant",236.986,1,,,,,,,,,,,,236.986,,,,-99996,-99996,-99996,
"L01-103_AstoComlIncd","IndirectlyConditioned","Storage Room - <50 ft2","Retail",109.311,1,,,,,,,,,,,,109.311,,,,-99996,-99996,-99996,
"L01-001_ElevComlIncd","IndirectlyConditioned","Unoccupied-Include in Gross Floor Area","Retail",60.514,1,,,,,,,,,,,,60.514,,,,-99996,-99996,-99996,
"L01-101_LbbyComlPthp","DirectlyConditioned","Lobby - All other","Retail",250.363,1,,,,,,,,,,,,250.363,,,,-99996,-99996,-99996,
"L01-101A_StrsComlIncd","IndirectlyConditioned","Stairwell","Retail",177.862,1,,,,,,,,,,,,177.862,,,,-99996,-99996,-99996,
"L01-100_VestComlIncd","IndirectlyConditioned","Corridor - All other","Retail",104.586,1,,,,,,,,,,,,104.586,,,,-99996,-99996,-99996,
"L02-214_AstoComlPthp","DirectlyConditioned","Storage Room - <50 ft2","",343.25,1,,,,,,,,,,,,343.25,,,,-99996,-99996,-99996,
"L02-211_RestComlIncd","IndirectlyConditioned","Restroom - All other","",740.004,1,,,,,,,,,,,,740.004,,,,-99996,-99996,-99996,
"L02-209_AstoComlPthp","DirectlyConditioned","Storage Room - <50 ft2","",346.687,1,,,,,,,,,,,,346.687,,,,-99996,-99996,-99996,
"L02-207_UtilComlIncd","IndirectlyConditioned","Warehouse - Storage Area - Medium to bulky, palletized items","Warehouse",98.6881,1,,,,,,,,98.6881,,,,,,,,-99996,-99996,-99996,
"L02-207C_MechComlIncd","IndirectlyConditioned","Electrical/MechanicaI Room","",54.4818,1,,,,,,,,,,,,54.4818,,,,-99996,-99996,-99996,
"L02-207B_MechComlIncd","IndirectlyConditioned","Electrical/MechanicaI Room","",53.0181,1,,,,,,,,,,,,53.0181,,,,-99996,-99996,-99996,
"L02-207A_MechComlIncd","IndirectlyConditioned","Electrical/MechanicaI Room","",52.5704,1,,,,,,,,,,,,52.5704,,,,-99996,-99996,-99996,
"L02-216_MprpComlPthp","DirectlyConditioned","Conference/Meeting/Multipurpose Room","",257.002,1,,,,,,,,,,,,257.002,,,,-99996,-99996,-99996,
"L02-217_AstoComlIncd","IndirectlyConditioned","Storage Room - <50 ft2","",43.3954,1,,,,,,,,,,,,43.3954,,,,-99996,-99996,-99996,
"L02-206_MprpComlPthp","DirectlyConditioned","Conference/Meeting/Multipurpose Room","",237.179,1,,,,,,,,,,,,237.179,,,,-99996,-99996,-99996,
"L02-201_CorrComlPthp","DirectlyConditioned","Corridor - All other","",945.805,1,,,,,,,,,,,,945.805,,,,-99996,-99996,-99996,
"L02-218_MechComlPthp","DirectlyConditioned","Electrical/MechanicaI Room","",45.8999,1,,,,,,,,,,,,45.8999,,,,-99996,-99996,-99996,
"L02-215_LndyComlIncd","IndirectlyConditioned","Warehouse - Storage Area - Medium to bulky, palletized items","Warehouse",111.229,1,,,,,,,,111.229,,,,,,,,-99996,-99996,-99996,
"L02-208_RestComlIncd","IndirectlyConditioned","Restroom - All other","",101.374,1,,,,,,,,,,,,101.374,,,,-99996,-99996,-99996,
"L02-001_ElevComlIncd","IndirectlyConditioned","Unoccupied-Include in Gross Floor Area","",60.514,1,,,,,,,,,,,,60.514,,,,-99996,-99996,-99996,
"L02-201B_UtilComlIncd","IndirectlyConditioned","Warehouse - Storage Area - Medium to bulky, palletized items","Warehouse",17.3018,1,,,,,,,,17.3018,,,,,,,,-99996,-99996,-99996,
"L02-202_OfceComlPthp","DirectlyConditioned","Office - Enclosed","Office, Financial, Unleased Tenant",187.617,1,,,,,,,,,,,,187.617,,,,-99996,-99996,-99996,
"L02-203_BrkrComlPthp","DirectlyConditioned","Lounge/Breakroom - All other","",223.271,1,,,,,,,,,,,,223.271,,,,-99996,-99996,-99996,
"L02-204_FitnComlPthp","DirectlyConditioned","Gymnasium/Fitness Center - Exercise area","",1417.3,1,,,,,,,,,,,,1417.3,,,,-99996,-99996,-99996,
"L02-205_AstoComlIncd","IndirectlyConditioned","Storage Room - <50 ft2","",178.133,1,,,,,,,,,,,,178.133,,,,-99996,-99996,-99996,
"L02-201A_StrsComlIncd","IndirectlyConditioned","Stairwell","",177.862,1,,,,,,,,,,,,177.862,,,,-99996,-99996,-99996,
,,,,,Sums:,0,0,0,0,0,0,0,227.219,0,0,0,0,0,0,,0,0,0,
,,Bldg Cond Area:,6632.21,,Pcts:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,,0.0,
