


360 Space Loads

                          Space,,,,,,,,,Occupancy,,,Lighting,,,,,,Envelope

                          Name,Story Name,Condg Type,Space Function,Occ Class, Thermal Zone,Floor Area,Volume,Multiplier,Dsgn,Min,Number,Reg Inst Pwr,Reg Sim Pwr,Reg Ltg Sch Hrs,NonReg Sim Pwr,NonReg Ltg Sch Hrs,Reg Base Pwr, Res Gross Wall Area,Res Win Area,Non Res Gross Wall Area,Non Res Win Area,Semi Cond Gross Wall Area,Semi Cond Win Area,Res Roof Gross Area,Res Skylight Area,NonRes Roof Gross Area,NonRes Skylight Area,Semi Roof Gross Area,Semi Skelight Area,Res Floor Area,NonRes Floor Area,Semi Floor Area,Res BelowGrade Wall Area,NonRes BelowGrade Wall Area,Semi BelowGrade Wall Area,Res GroundContacted Slab Area,NonRes GroundContacted Slab Area,Semi GroundContacted Slab Area

                          ,,,,,,(ft2),(ft3),,(ppl/1000ft2),(ppl/1000ft2),(people),(Watts),(Watts),(hrs.),(Watts),(hrs.),(Watts),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2),(ft2)
"L01-105_IstoComlUncd","L1","Unconditioned","Storage Room - <50 ft2","Nonresidential","Thermal Zone: L01-105_IstoComlUncd",4752.9660,71294.4000,1,3,0,7.1,1254.8,1254.8,0,-99996,0.0,3802.4,0.0,0.0,0.0,678.6,685.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"L01-102_OfceComlPthp","L1","DirectlyConditioned","Office - Enclosed","Nonresidential","Thermal Zone: L01-102_OfceComlPthp",236.9860,3554.7700,1,10,10,1.2,62.6,62.6,0,-99996,0.0,260.7,0.0,0.0,308.9,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.5,0.0,0.0,237.0,0.0
"L01-103_AstoComlIncd","L1","IndirectlyConditioned","Storage Room - <50 ft2","Nonresidential","Thermal Zone: L01-102_OfceComlPthp",109.3114,1639.6900,1,3,0,0.2,28.9,28.9,0,-99996,0.0,87.4,0.0,0.0,73.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1,0.0,0.0,109.3,0.0
"L01-001_ElevComlIncd","L1","IndirectlyConditioned","Unoccupied-Include in Gross Floor Area","Nonresidential","Thermal Zone: L01-102_OfceComlPthp",60.5140,907.7090,1,-99996,0,0.0,-99996.0,0.0,0,-99996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,0.0
"L01-101_LbbyComlPthp","L1","DirectlyConditioned","Lobby - All other","Nonresidential","Thermal Zone: L01-102_OfceComlPthp",250.3627,3755.4500,1,10,67,1.3,66.1,66.1,0,-99996,0.0,325.5,0.0,0.0,122.0,88.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.4,0.0
"L01-101A_StrsComlIncd","L1","IndirectlyConditioned","Stairwell","Nonresidential","Thermal Zone: L01-102_OfceComlPthp",177.8624,2667.9300,1,10,10,0.9,47.0,47.0,0,-99996,0.0,106.7,0.0,0.0,416.7,169.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.9,0.0
"L01-100_VestComlIncd","L1","IndirectlyConditioned","Corridor - All other","Nonresidential","Thermal Zone: L01-102_OfceComlPthp",104.5857,1568.8000,1,10,10,0.5,27.6,27.6,0,-99996,0.0,52.3,0.0,0.0,158.4,103.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.6,0.0
"L02-214_AstoComlPthp","L2","DirectlyConditioned","Storage Room - <50 ft2","Nonresidential","Thermal Zone: L02-214_AstoComlPthp",343.2500,4197.9600,1,3,0,0.5,90.6,90.6,0,-99996,0.0,274.6,0.0,0.0,362.3,0.0,0.0,0.0,0.0,0.0,343.5,0.0,0.0,0.0,0.0,0.0,343.3,0.0,0.0,0.0,0.0,0.0,0.0
