AirSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"Elecresistance+BaseSys4DX-1","SZAC",989.9,989.9,0.0,0.0,0.421,0.421,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"Elecresistance+BaseSys4DX-2","SZAC",232.3,232.3,0.0,0.0,0.099,0.099,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"Elecresistance+BaseSys4DX-3","SZAC",317.9,317.9,0.0,0.0,0.135,0.135,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"Elecresistance+BaseSys4DX-5","SZAC",1611.4,1611.4,0.0,0.0,0.685,0.685,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"Elecresistance+BaseSys4DX-6","SZAC",553.7,553.7,0.0,0.0,0.235,0.235,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"Elecresistance+BaseSys4DX-7","SZAC",235.3,235.3,0.0,0.0,0.100,0.100,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"Elecresistance+BaseSys4DX-8","SZAC",269.8,269.8,0.0,0.0,0.115,0.115,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"ERV1","DOASCV",1540.0,1540.0,0.0,1540.0,0.596,0.596,0.000,0.000,-99996.000,-99996.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

ZoneSystems
,,Fan Capacity,,,,Fan Pwr (Design),,,,,Fan Pwr Ratio,,,,Fan Pwr Adj
System Name,Type,Supply Fan Capacity,Return Fan Capacity,Relief Fan Capacity,Exhaust Fan Capacity,Supply Fan Pwr,Return Fan Pwr,Relief Fan Pwr,Exhaust Fan Pwr,Total System Fan Pwr,Supply Fan Pwr Ratio,Return Fan Pwr Ratio,Relief Fan Pwr Ratio,Exhaust Fan Pwr Ratio,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total System Fan Pwr Adj,Fully Ducted Exhaust Pressure Drop Adj,Exhaust Filter Pressure Drop Adj,Biosafety Cabinet Pressure Drop Adj,Fully Ducted Return Pressure Drop Adj,MERV16 Filter Pressure Drop Adj,Air Cleaner Pressure Drop Adj,Fully Ducted Exhaust Design Flow,Exhaust Filter Design Flow,Biosafety Design Flow,Fully Ducted Return Design Flow,MERV16 Filter Design Flow,Air Cleaner Design Flow
,,(cfm),(cfm),(cfm),(cfm),(kW),(kW),(kW),(kW),(kW),(frac),(frac),(frac),(frac),(kW),(kW),(kW),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(inH2O),(cfm),(cfm),(cfm),(cfm),(cfm),(cfm)
"HP1","SZHP",290.0,0,0,0.0,0.026,0,0,0.000,-99996.000,-99996.000,0,0,-99996.000,0.000,0.063,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"HP2/3","MiniSplitHP",500.0,0,0,0.0,0.050,0,0,0.000,-99996.000,-99996.000,0,0,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000
"HP4","MiniSplitHP",240.0,0,0,0.0,0.024,0,0,0.000,-99996.000,-99996.000,0,0,-99996.000,0.000,0.000,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000

Thermal Zone
,,,,,,Fan Capacity,,,Fan Flow Ratio,,,Fan Pwr,,,,,Fan Pwr Adj
Name,Pri HVAC Sys,Vent Sys,Exhaust Sys,Floor Area,Multiplier,Pri. System Flow,Ventilation System Flow,Exhaust Flow,Zone Pri-Air-Flow-to-Sys Flow Ratio,Zone Vent-to-Sys-Air Flow Ratio,Zone Exh-to-Sys Flow Ratio,Prop Supply Fan Pwr,Prop Return Fan Pwr,Prop Relief Fan Pwr,Prop Exhaust Fan Pwr,Total Prop Fan Pwr,Total Exhaust Fan Pwr Adj,Total NonExhaust Fan Pwr Adj,Total Fan Pwr Adj,Fully Ducted Exhaust Pwr Adj,Exhaust Filter Fan Pwr Adj,Biosafety Cabinet Fan Pwr Adj,Fully Ducted Return Fan Pwr Adj,MERV16 Fan Pwr Adj,Air Cleaner Fan Pwr Adj,Exhaust Fan Motor BHP
,,,,(ft2),,(cfm),(cfm),(cfm),(frac),(frac),(frac),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW),(kW)
"Thermal Zone: L01-105_IstoComlUncd","NONE","NONE","NONE",4753.0,1,0.0,0.0,0.0,0.000,0.000,0.000,-99996.000,0.000,0.000,0.000,0.000,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L01-102_OfceComlPthp","Elecresistance+BaseSys4DX-1","ERV1","ERV1",939.6,1,989.9,125.0,0.0,1.000,0.081,0.000,-99996.000,0.421,0.000,0.000,0.890,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-214_AstoComlPthp","Elecresistance+BaseSys4DX-8","ERV1","ERV1",343.3,1,269.8,115.0,0.0,1.000,0.075,0.000,-99996.000,0.115,0.000,0.000,0.274,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-209_AstoComlPthp","Elecresistance+BaseSys4DX-7","ERV1","ERV1",346.7,1,235.3,115.0,0.0,1.000,0.075,0.000,-99996.000,0.100,0.000,0.000,0.244,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-216_MprpComlPthp","HP4","ERV1","ERV1",300.4,1,240.0,80.0,0.0,1.000,0.052,0.000,-99996.000,0.000,0.000,0.000,0.055,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-206_MprpComlPthp","Elecresistance+BaseSys4DX-6","ERV1","ERV1",597.3,1,553.7,25.0,0.0,1.000,0.016,0.000,-99996.000,0.235,0.000,0.000,0.480,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-201_CorrComlPthp","Elecresistance+BaseSys4DX-5","ERV1","ERV1",2052.7,1,1611.4,90.0,0.0,1.000,0.058,0.000,-99996.000,0.685,0.000,0.000,1.405,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-218_MechComlPthp","HP1","NONE","NONE",45.9,1,290.0,0.0,0.0,1.000,0.000,0.000,-99996.000,0.000,0.000,0.000,0.026,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-202_OfceComlPthp","Elecresistance+BaseSys4DX-2","ERV1","ERV1",187.6,1,232.3,35.0,0.0,1.000,0.023,0.000,-99996.000,0.099,0.000,0.000,0.211,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-203_BrkrComlPthp","Elecresistance+BaseSys4DX-3","ERV1","ERV1",223.3,1,317.9,65.0,0.0,1.000,0.042,0.000,-99996.000,0.135,0.000,0.000,0.295,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Thermal Zone: L02-204_FitnComlPthp","HP2/3","ERV1","ERV1",1595.4,1,500.0,890.0,0.0,1.000,0.578,0.000,-99996.000,0.000,0.000,0.000,0.394,-99996.000,-99996.000,-99996.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
